pub_date	title	venue	excerpt	citation	url_slug	paper_url	slides_url
2023-03-21	"FedDD: Toward Communication-efficient Federated Learning with Differential Parameter Dropout"	"IEEE Transactions on Mobile Computing"	"todo#1"	"todo#2"	28	https://scholar.google.com.hk/citations?view_op=view_citation&hl=zh-CN&user=AZAiLpkAAAAJ&cstart=20&pagesize=80&citation_for_view=AZAiLpkAAAAJ:bEWYMUwI8FkC	todo#3
2023-03-21	"Side-lobe Can Know More: Towards Simultaneous Communication and Sensing for mmWave"	"Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous …"	"todo#1"	"todo#2"	29	https://scholar.google.com.hk/citations?view_op=view_citation&hl=zh-CN&user=AZAiLpkAAAAJ&cstart=20&pagesize=80&citation_for_view=AZAiLpkAAAAJ:TQgYirikUcIC	todo#3
2022-03-21	"WISE: Low-Cost Wide Band Spectrum Sensing Using UWB"	"Proceedings of the 20th ACM Conference on Embedded Networked Sensor Systems …"	"todo#1"	"todo#2"	30	https://scholar.google.com.hk/citations?view_op=view_citation&hl=zh-CN&user=AZAiLpkAAAAJ&cstart=20&pagesize=80&citation_for_view=AZAiLpkAAAAJ:R3hNpaxXUhUC	todo#3
2021-03-21	"MousePath: Enhancing PC Web Pages through Smartphone and Optical Mouse"	"2021 IEEE International Conference on Pervasive Computing and Communications …"	"todo#1"	"todo#2"	31	https://scholar.google.com.hk/citations?view_op=view_citation&hl=zh-CN&user=AZAiLpkAAAAJ&cstart=20&pagesize=80&citation_for_view=AZAiLpkAAAAJ:mVmsd5A6BfQC	todo#3
2023-03-21	"CSI-StripeFormer: Exploiting Stripe Features for CSI Compression in Massive MIMO System"	"IEEE INFOCOM 2023-IEEE Conference on Computer Communications, 1-10"	"todo#1"	"todo#2"	32	https://scholar.google.com.hk/citations?view_op=view_citation&hl=zh-CN&user=AZAiLpkAAAAJ&cstart=20&pagesize=80&citation_for_view=AZAiLpkAAAAJ:j3f4tGmQtD8C	todo#3
2023-03-21	"Rethinking Privacy Risks from Wireless Surveillance Camera"	"ACM Transactions on Sensor Networks 19 (3), 1-21"	"todo#1"	"todo#2"	33	https://scholar.google.com.hk/citations?view_op=view_citation&hl=zh-CN&user=AZAiLpkAAAAJ&cstart=20&pagesize=80&citation_for_view=AZAiLpkAAAAJ:HDshCWvjkbEC	todo#3
2024-03-21	"Gesture Recognition Using Visible Light on Mobile Devices"	"IEEE/ACM Transactions on Networking"	"todo#1"	"todo#2"	34	https://scholar.google.com.hk/citations?view_op=view_citation&hl=zh-CN&user=AZAiLpkAAAAJ&cstart=20&pagesize=80&citation_for_view=AZAiLpkAAAAJ:isC4tDSrTZIC	todo#3
2024-03-21	"Hydra: Hybrid-model federated learning for human activity recognition on heterogeneous devices"	"Journal of Systems Architecture 147, 103052"	"todo#1"	"todo#2"	35	https://scholar.google.com.hk/citations?view_op=view_citation&hl=zh-CN&user=AZAiLpkAAAAJ&cstart=20&pagesize=80&citation_for_view=AZAiLpkAAAAJ:maZDTaKrznsC	todo#3
2023-03-21	"Spectrum Sensing Everywhere: Wide-Band Spectrum Sensing With Low-Cost UWB Nodes"	"IEEE/ACM Transactions on Networking"	"todo#1"	"todo#2"	36	https://scholar.google.com.hk/citations?view_op=view_citation&hl=zh-CN&user=AZAiLpkAAAAJ&cstart=20&pagesize=80&citation_for_view=AZAiLpkAAAAJ:TFP_iSt0sucC	todo#3
2023-03-21	"RIScan: RIS-aided Multi-user Indoor Localization Using COTS Wi-Fi"	"Proceedings of the 21st ACM Conference on Embedded Networked Sensor Systems …"	"todo#1"	"todo#2"	37	https://scholar.google.com.hk/citations?view_op=view_citation&hl=zh-CN&user=AZAiLpkAAAAJ&cstart=20&pagesize=80&citation_for_view=AZAiLpkAAAAJ:k_IJM867U9cC	todo#3
2023-03-21	"COUPLE: Accelerating Video Analytics on Heterogeneous Mobile Processors"	"Proceedings of the 29th Annual International Conference on Mobile Computing …"	"todo#1"	"todo#2"	38	https://scholar.google.com.hk/citations?view_op=view_citation&hl=zh-CN&user=AZAiLpkAAAAJ&cstart=20&pagesize=80&citation_for_view=AZAiLpkAAAAJ:r0BpntZqJG4C	todo#3
2023-03-21	"Step and Save: A Wearable Technology Based Incentive Mechanism for Health Insurance"	"International Symposium on Advanced Parallel Processing Technologies, 326-347"	"todo#1"	"todo#2"	39	https://scholar.google.com.hk/citations?view_op=view_citation&hl=zh-CN&user=AZAiLpkAAAAJ&cstart=20&pagesize=80&citation_for_view=AZAiLpkAAAAJ:iH-uZ7U-co4C	todo#3
2023-03-21	"Enabling Reliable and Efficient Performance Monitoring and Troubleshooting in Datacenter Networks"	"2023 IEEE/ACM 31st International Symposium on Quality of Service (IWQoS), 1-4"	"todo#1"	"todo#2"	40	https://scholar.google.com.hk/citations?view_op=view_citation&hl=zh-CN&user=AZAiLpkAAAAJ&cstart=20&pagesize=80&citation_for_view=AZAiLpkAAAAJ:4JMBOYKVnBMC	todo#3
2023-03-21	"MousePath: Lightweight phone-to-web information sharing via mouse interface"	"Pervasive and Mobile Computing 90, 101756"	"todo#1"	"todo#2"	41	https://scholar.google.com.hk/citations?view_op=view_citation&hl=zh-CN&user=AZAiLpkAAAAJ&cstart=20&pagesize=80&citation_for_view=AZAiLpkAAAAJ:_Qo2XoVZTnwC	todo#3
2022-03-21	"Investigating Low-Battery Anxiety of Mobile Users"	"2022 IEEE International Conferences on Internet of Things (iThings) and IEEE …"	"todo#1"	"todo#2"	42	https://scholar.google.com.hk/citations?view_op=view_citation&hl=zh-CN&user=AZAiLpkAAAAJ&cstart=20&pagesize=80&citation_for_view=AZAiLpkAAAAJ:mB3voiENLucC	todo#3
2022-03-21	"More Behind Your Electricity Bill: a Dual-DNN Approach to Non-Intrusive Load Monitoring"	"2022 IEEE International Conferences on Internet of Things (iThings) and IEEE …"	"todo#1"	"todo#2"	43	https://scholar.google.com.hk/citations?view_op=view_citation&hl=zh-CN&user=AZAiLpkAAAAJ&cstart=20&pagesize=80&citation_for_view=AZAiLpkAAAAJ:hFOr9nPyWt4C	todo#3
2022-03-21	"FABMon: Enabling Fast and Accurate Network Available Bandwidth Estimation"	"2022 IEEE/ACM 30th International Symposium on Quality of Service (IWQoS), 1-11"	"todo#1"	"todo#2"	44	https://scholar.google.com.hk/citations?view_op=view_citation&hl=zh-CN&user=AZAiLpkAAAAJ&cstart=20&pagesize=80&citation_for_view=AZAiLpkAAAAJ:qUcmZB5y_30C	todo#3
2022-03-21	"A Low-Cost Wide Band Spectrum Sensing System with UWB."	"SenSys, 760-761"	"todo#1"	"todo#2"	45	https://scholar.google.com.hk/citations?view_op=view_citation&hl=zh-CN&user=AZAiLpkAAAAJ&cstart=20&pagesize=80&citation_for_view=AZAiLpkAAAAJ:e5wmG9Sq2KIC	todo#3
2021-03-21	"Shared Secret Key Generation by Exploiting Inaudible Acoustic Channels"	"ACM Transactions on Sensor Networks (TOSN) 18 (1), 1-26"	"todo#1"	"todo#2"	46	https://scholar.google.com.hk/citations?view_op=view_citation&hl=zh-CN&user=AZAiLpkAAAAJ&cstart=20&pagesize=80&citation_for_view=AZAiLpkAAAAJ:L8Ckcad2t8MC	todo#3
2021-03-21	"Using Smartphone and Optical Mouse to Enhance Web Interaction"	"2021 IEEE International Conference on Pervasive Computing and Communications …"	"todo#1"	"todo#2"	47	https://scholar.google.com.hk/citations?view_op=view_citation&hl=zh-CN&user=AZAiLpkAAAAJ&cstart=20&pagesize=80&citation_for_view=AZAiLpkAAAAJ:Wp0gIr-vW9MC	todo#3
